acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists
0.0745,https://api.spotify.com/v1/audio-analysis/2WFnUzm3juDuGxgNOlVBi1,0.581,277893,0.848,2WFnUzm3juDuGxgNOlVBi1,0.0334,0,0.0511,-6.609,1,0.0314,130.752,4,https://api.spotify.com/v1/tracks/2WFnUzm3juDuGxgNOlVBi1,audio_features,spotify:track:2WFnUzm3juDuGxgNOlVBi1,0.562,2020-03-16T12:11:25Z,Blue Cheese,"Courtney Barnett,Kurt Vile"
0.287,https://api.spotify.com/v1/audio-analysis/1fH2wejQLc0TJ1cneHSrwr,0.909,232387,0.593,1fH2wejQLc0TJ1cneHSrwr,0.541,8,0.133,-9.335,1,0.0504,123.882,4,https://api.spotify.com/v1/tracks/1fH2wejQLc0TJ1cneHSrwr,audio_features,spotify:track:1fH2wejQLc0TJ1cneHSrwr,0.714,2020-03-02T19:46:16Z,Physical,The Glimmers
0.00261,https://api.spotify.com/v1/audio-analysis/6LABUfTDRKb5QGZNgWrDq0,0.573,314803,0.652,6LABUfTDRKb5QGZNgWrDq0,0.00304,0,0.139,-6.839,1,0.0331,127.902,4,https://api.spotify.com/v1/tracks/6LABUfTDRKb5QGZNgWrDq0,audio_features,spotify:track:6LABUfTDRKb5QGZNgWrDq0,0.624,2020-03-02T18:21:04Z,Reel Around the Fountain,Fun People
0.00605,https://api.spotify.com/v1/audio-analysis/6OiRh4kttAs1YWglvTcYkB,0.534,207813,0.724,6OiRh4kttAs1YWglvTcYkB,0.0929,6,0.108,-4.675,0,0.0495,81.846,4,https://api.spotify.com/v1/tracks/6OiRh4kttAs1YWglvTcYkB,audio_features,spotify:track:6OiRh4kttAs1YWglvTcYkB,0.503,2020-03-02T18:14:54Z,Alrighty Aphrodite,Peach Pit
0.057,https://api.spotify.com/v1/audio-analysis/4SKiJuEdLEqCB3OhmMvG5w,0.807,192968,0.806,4SKiJuEdLEqCB3OhmMvG5w,0.025,7,0.0564,-4.677,1,0.0378,140.028,4,https://api.spotify.com/v1/tracks/4SKiJuEdLEqCB3OhmMvG5w,audio_features,spotify:track:4SKiJuEdLEqCB3OhmMvG5w,0.779,2020-02-27T14:38:07Z,Cabeça de Papel (Remix),"BaianaSystem,Tropkillaz"
0.289,https://api.spotify.com/v1/audio-analysis/6ET453QCZCnhN7cb5zZoqf,0.724,149720,0.833,6ET453QCZCnhN7cb5zZoqf,0.000242,2,0.0991,-6.962,1,0.0705,144.999,4,https://api.spotify.com/v1/tracks/6ET453QCZCnhN7cb5zZoqf,audio_features,spotify:track:6ET453QCZCnhN7cb5zZoqf,0.875,2020-02-10T20:29:09Z,Cabeça de Papel,BaianaSystem
0.21,https://api.spotify.com/v1/audio-analysis/1M1VDmQUcd8OkY7eWN9j5E,0.492,222166,0.793,1M1VDmQUcd8OkY7eWN9j5E,0.0,11,0.64,-6.039,1,0.218,99.96,4,https://api.spotify.com/v1/tracks/1M1VDmQUcd8OkY7eWN9j5E,audio_features,spotify:track:1M1VDmQUcd8OkY7eWN9j5E,0.846,2020-02-07T14:13:28Z,Sobre Rosa,"ANNÁ,Ilú Obá De Min"
0.472,https://api.spotify.com/v1/audio-analysis/5GwCFfROJdrkgxJnfuUD3s,0.704,195960,0.794,5GwCFfROJdrkgxJnfuUD3s,0.164,9,0.268,-10.446,1,0.0691,101.512,4,https://api.spotify.com/v1/tracks/5GwCFfROJdrkgxJnfuUD3s,audio_features,spotify:track:5GwCFfROJdrkgxJnfuUD3s,0.655,2020-02-05T19:28:49Z,Mane Joao,Erasmo Carlos
0.155,https://api.spotify.com/v1/audio-analysis/4PsU04tlnM9fKWyHCXKlL8,0.47,196827,0.691,4PsU04tlnM9fKWyHCXKlL8,0.0,2,0.0746,-7.607,0,0.0531,164.44,4,https://api.spotify.com/v1/tracks/4PsU04tlnM9fKWyHCXKlL8,audio_features,spotify:track:4PsU04tlnM9fKWyHCXKlL8,0.654,2020-02-05T19:25:32Z,Tristeza Pé No Chão,Clara Nunes
0.0454,https://api.spotify.com/v1/audio-analysis/0bMrDsmd4uRQX20IWV9V9y,0.692,143507,0.768,0bMrDsmd4uRQX20IWV9V9y,0.000508,8,0.164,-7.136,1,0.0389,103.005,4,https://api.spotify.com/v1/tracks/0bMrDsmd4uRQX20IWV9V9y,audio_features,spotify:track:0bMrDsmd4uRQX20IWV9V9y,0.525,2020-02-04T20:44:46Z,Knife on the Platter,BODEGA
0.0996,https://api.spotify.com/v1/audio-analysis/3NnINnjKVVs03xat0qLQFx,0.544,118466,0.718,3NnINnjKVVs03xat0qLQFx,0.0,5,0.2,-8.286,0,0.24,80.095,3,https://api.spotify.com/v1/tracks/3NnINnjKVVs03xat0qLQFx,audio_features,spotify:track:3NnINnjKVVs03xat0qLQFx,0.361,2020-01-27T02:33:28Z,GROUP B,"Tyler, The Creator"
0.279,https://api.spotify.com/v1/audio-analysis/7yqGQh8ullxqsv30ASaEgE,0.698,243667,0.689,7yqGQh8ullxqsv30ASaEgE,0.0943,2,0.21,-6.017,0,0.0299,102.0,4,https://api.spotify.com/v1/tracks/7yqGQh8ullxqsv30ASaEgE,audio_features,spotify:track:7yqGQh8ullxqsv30ASaEgE,0.668,2020-01-24T11:30:55Z,Miçanga,"BaianaSystem,Antonio Carlos & Jocafi"
